name,latitude,longitude
McDonald's,45.2019,-123.1671
Subway,44.084669,-123.155932
Arby's,44.048521,-123.154583
Taco Time,44.048007,-123.153908
Pizza Hut,44.048019,-123.146154
McDonald's,44.048015,-123.145834
Dairy Queen,44.0689,-123.1418
Sushi Island Japenese Restaurant,44.04844,-123.14121
Panda Express,44.0514,-123.1408
Jack in the Box,48.076753,-123.140751
SUBWAY,44.04784,-123.1394
Jaliscos Mexican Restaurant,44.0481,-123.1382
Lok Yaun Restaurant,44.04764,-123.1372
KFC,44.1012,-123.1298
Burger King,44.098943,-123.129234
Arby's,44.095737,-123.12839
McDonald's,44.095702,-123.126687
Jack in the Box,47.230808,-123.126656
McDonalds,47.23308,-123.125694
Taco Bell,47.23099,-123.12565
McDonald's,44.05282,-123.12167
McDonald's,44.053,-123.1216
Jack in the Box,44.0531,-123.1197
Burger King,48.08005,-123.11811
Juicy Burger,44.62343,-123.11442
AW Restaurants,44.64375,-123.1134
Burrito Amigos,44.0534,-123.113
McDonald's,44.62285,-123.11072
Wetzel's Pretzels,44.06874,-123.11056
Subway,44.62428,-123.10846
Orange Julius,44.0694,-123.1081
First Burger,44.63699,-123.10669
Arby's,44.06895,-123.10548
Dickiejo's Burgers,44.06923,-123.10304
Pizza Hut,47.2072,-123.1016
Albee's Ny Gyros,44.04777,-123.09867
Albee's NY Gyros,44.0477,-123.0983
Wendys,44.093744,-123.095449
SUBWAY,47.142637,-123.094114
Subway,44.09318,-123.09397
Killer Burgers,44.0499,-123.0933
SUBWAY,44.027602,-123.091786
Jacopetti's Catering,44.62484,-123.0914
Jimmy John's,44.03101,-123.09117
Pizza Hut,44.026852,-123.091118
The Campbell House Inn Restaurant,44.056988,-123.09007
Cornucopia,44.05456,-123.08931
McDonald's,45.520612,-123.089019
Wendy's,44.63389,-123.08573
Jack in the Box,44.634178,-123.083363
Red Robin Gourmet Burgers,44.6289,-123.0816
Restaurant,44.04497,-123.08019
Mucho Gusto Mexican Kitchen,44.073677,-123.07876
Pizza Hut,44.629,-123.0781
Carls Jr,44.065937,-123.074495
Chipotle Mexican Grill,44.0447,-123.074
J C K Restaurants Inc,44.6313,-123.0726
SUBWAY,45.520454,-123.071824
Agate Alley Bistro,44.03898,-123.07046
Burrtio Amigos,44.07985,-123.06836
Dairy Queen,44.080292,-123.06783
McDonald's,44.642616,-123.064759
Odd Moe's Pizza,44.93757,-123.06405
Little Big Burger,44.0443,-123.0632
Carl's Jr.,43.787,-123.0539
Subway,38.9256,-123.0529
Panda Express,44.9478,-123.0499
McDonald's,44.947221,-123.049783
Wendy's,44.918458,-123.044853
Pizza Hut,44.908523,-123.04414
Burger King,45.520061,-123.043411
Taco Bell,44.905524,-123.043021
KFC,44.0804,-123.0422
Arby's,43.800839,-123.039401
Panda Express,44.89996,-123.03939
KFC,44.902,-123.0393
Subway,43.7989,-123.0389
Dairy Queen,44.8984,-123.0388
QDOBA Mexican Eats,44.88976,-123.03443
McDonald's,44.881341,-123.029824
Burger King,44.880678,-123.029408
