game_id,name,year_published,average_rating,users_rated,playing_time
781,Tabloid Teasers,1991,5.92434,76,45
782,"Win, Place & Show",1966,6.71985,726,120
783,Letter Head,2000,6.04579,78,10
784,Discretion,1978,6.72549,51,120
785,Dog Eat Dog,1999,5.26417,127,90
786,Maxi Bour$e,1987,4.38752,137,90
787,Palermo,1992,5.86765,68,60
788,Tales of the Arabian Nights,1985,7.09216,739,120
789,Focus,1963,6.46077,643,45
790,Terra Turrium,1990,6.04695,82,90
791,Löwendynastie,1998,5.98986,74,30
793,Yahtzee Deluxe Poker,1994,6.06359,467,20
794,Foil,1968,5.61917,133,60
795,Dragonlance,1988,5.33066,351,60
796,Shanghai Trader,1986,6.53263,190,240
798,Ace of Aces: Handy Rotary Series,1980,6.99702,983,20
799,The Hills Rise Wild!,2000,6.37131,244,180
801,Crimean War Battles,1978,6.84934,76,120
803,Dragonhunt,1982,5.77,218,120
804,Thunder Road,1986,6.61009,664,45
805,Buffy the Vampire Slayer: The Game,2000,6.63443,1512,90
808,Pipeline,1988,5.3225,80,30
811,Rummikub,1977,6.29554,8073,60
813,Goosebumps: Terror in the Graveyard Game,1995,5.30185,108,45
814,Aquarius,1998,5.96247,1412,20
815,Chrononauts,2000,6.22636,4590,30
816,2038: Tycoons of the Asteroid Belt,1995,7.03236,343,360
820,Axiom,1988,6.93802,191,15
822,Carcassonne,2000,7.43536,67056,45
823,Lord of the Rings,2000,6.78475,11826,60
825,Screaming Eagles,1987,5.92098,298,20
826,Cartagena,2000,6.70984,6545,45
827,Attila,2000,6.51186,1478,45
828,Wizards,1982,6.23018,328,240
829,Battle of the Bands,2001,5.76798,178,45
831,Schrille Stille,1999,6.51615,638,60
833,For the People,1998,7.68332,1144,360
834,Chronology,1996,6.4329,626,30
835,Election,1972,6.83735,83,120
836,New England Railways,2000,6.76111,135,120
840,Corsairs,2000,6.08477,499,60
841,Razzia,1992,6.3546,274,30
843,Circus Minimus,2000,6.39188,197,60
844,Mausoleum,2000,4.5587,92,20
847,Feudal,1967,5.97096,1193,90
848,Tip Tap,1999,5.70588,68,45
849,Golf Masters,2000,4.78361,61,90
852,Pop Belly,1999,5.31039,77,20
853,...und tschüss!,1997,6.43628,290,30
854,Doge,2000,6.52311,694,45
855,Java,2000,7.03347,2974,120
856,"New York, New York",1989,5.53418,79,30
857,Titanic: Der Mythos,1998,5.44733,131,20
858,Blindes Huhn,1997,5.35373,67,20
